market,market_address,token_a,token_b,token_a_amount_in,token_b_amount_out,token_a_fiat_amount_in,token_b_fiat_amount_out
MATIC>>DAI,0x250efbB94De68dD165bD6c98e804E08153Eb91c6,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,0.000662808641975648,0.001055748271567605,1.592840232771729378,1.592840232771729378
MATIC>>DAI,0x250efbB94De68dD165bD6c98e804E08153Eb91c6,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,0.000460648148148384,0.000735858657660280,1.597441910095870351,1.597441910095870351
MATIC>>DAI,0x250efbB94De68dD165bD6c98e804E08153Eb91c6,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,0.000002314814814816,0.000003695939062200,1.596645674869582517,1.596645674869582517
MATIC>>DAI,0x250efbB94De68dD165bD6c98e804E08153Eb91c6,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,0.000927854938272080,0.001479138993699675,1.594148969508355355,1.594148969508355355
MATIC>>DAI,0x250efbB94De68dD165bD6c98e804E08153Eb91c6,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,0.000459104938271840,0.000731722687759525,1.593802694682115738,1.593802694682115738
MATIC>>DAI,0x250efbB94De68dD165bD6c98e804E08153Eb91c6,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,0.000928240740741216,0.001478170194566835,1.592442703372932101,1.592442703372932101
MATIC>>DAI,0x250efbB94De68dD165bD6c98e804E08153Eb91c6,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,0.001387345679013056,0.002199358082629400,1.585299263118043944,1.585299263118043944
MATIC>>DAI,0x250efbB94De68dD165bD6c98e804E08153Eb91c6,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,0.002779320987655744,0.004299056961386110,1.546801172113699587,1.546801172113699587
MATIC>>DAI,0x250efbB94De68dD165bD6c98e804E08153Eb91c6,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,0.000458333333333568,0.000707856861792080,1.544414971181929260,1.544414971181929260
MATIC>>DAI,0x250efbB94De68dD165bD6c98e804E08153Eb91c6,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,0.001009259259259776,0.001548807086275680,1.534597846951264194,1.534597846951264194
MATIC>>DAI,0x250efbB94De68dD165bD6c98e804E08153Eb91c6,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,0.000380401234568096,0.000582972630698535,1.532520343579948331,1.532520343579948331
MATIC>>DAI,0x250efbB94De68dD165bD6c98e804E08153Eb91c6,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,0.000931327160494304,0.001427937462529655,1.533228625880269569,1.533228625880269569
MATIC>>DAI,0x250efbB94De68dD165bD6c98e804E08153Eb91c6,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,0.000457561728395296,0.000697074579106290,1.523454729378228153,1.523454729378228153
MATIC>>DAI,0x250efbB94De68dD165bD6c98e804E08153Eb91c6,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,0.000930555555556032,0.001412099120798520,1.517479652200617677,1.517479652200617677
MATIC>>DAI,0x250efbB94De68dD165bD6c98e804E08153Eb91c6,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,0.000458333333333568,0.000690901990240000,1.507422524159228200,1.507422524159228200
MATIC>>DAI,0x250efbB94De68dD165bD6c98e804E08153Eb91c6,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,0.001389660493827872,0.002105895108470615,1.515402587771526746,1.515402587771526746
MATIC>>DAI,0x250efbB94De68dD165bD6c98e804E08153Eb91c6,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,0.000929398148148624,0.001407002644806990,1.513885784698153110,1.513885784698153110
MATIC>>DAI,0x250efbB94De68dD165bD6c98e804E08153Eb91c6,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,0.000460648148148384,0.000697118346637020,1.513342340437379139,1.513342340437379139
MATIC>>DAI,0x250efbB94De68dD165bD6c98e804E08153Eb91c6,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,0.000820987654321408,0.001246825200657575,1.518689342153561905,1.518689342153561905
MATIC>>DAI,0x250efbB94De68dD165bD6c98e804E08153Eb91c6,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,0.000567129629629920,0.000864431823311980,1.524222643553404741,1.524222643553404741
MATIC>>DAI,0x250efbB94De68dD165bD6c98e804E08153Eb91c6,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,0.000929783950617760,0.001414574902538105,1.521401720903274221,1.521401720903274221
MATIC>>DAI,0x250efbB94De68dD165bD6c98e804E08153Eb91c6,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,0.000462191358024928,0.000704324655445180,1.523881057523348788,1.523881057523348788
MATIC>>DAI,0x250efbB94De68dD165bD6c98e804E08153Eb91c6,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,0.000925925925926400,0.001415743071939350,1.529002517693715151,1.529002517693715151
MATIC>>DAI,0x250efbB94De68dD165bD6c98e804E08153Eb91c6,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,0.000460648148148384,0.000702170009826285,1.524308765049245283,1.524308765049245283
MATIC>>DAI,0x250efbB94De68dD165bD6c98e804E08153Eb91c6,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,0.001394290123457504,0.002129556961014560,1.527341351119787874,1.527341351119787874
MATIC>>DAI,0x250efbB94De68dD165bD6c98e804E08153Eb91c6,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,0.000923225308642448,0.001412724315945635,1.530205360187718800,1.530205360187718800
MATIC>>DAI,0x250efbB94De68dD165bD6c98e804E08153Eb91c6,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,0.001389660493827872,0.002131477701627120,1.533811827488802428,1.533811827488802428
MATIC>>DAI,0x250efbB94De68dD165bD6c98e804E08153Eb91c6,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,0.000459104938271840,0.000697794600048700,1.519902187668322987,1.519902187668322987
MATIC>>DAI,0x250efbB94De68dD165bD6c98e804E08153Eb91c6,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,0.000001543209876544,0.000002344398539945,1.519170253883582185,1.519170253883582185
